,character,text,number,types
885,ARAGORN," If by my life or death I can protect you, I will. ...you have my sword.",1,male
886,ARAGORN, I do not want that power. I have never wanted it.,1,male
887,ARAGORN, Hide!,1,male
888,ARAGORN, Boromir?,1,male
889,ARAGORN, Boromir ... give the Ring to Frodo.,1,male
890,ARAGORN, He's trying to bring down the mountain. Gandalf! We must turn back!,1,male
891,ARAGORN, The Gap of Rohan takes us too close to Isengard.,1,male
892,ARAGORN," Mines are no place for a Pony, even one so brave as Bill.",1,male
893,ARAGORN," Go on, Bill, go on ... don't worry, Sam ... he knows his way home.",1,male
894,ARAGORN, Do not disturb the water.,1,male
895,ARAGORN, Get back! Stay close to Gandalf.,1,male
896,ARAGORN, Frodo!,1,male
897,ARAGORN, You should be dead. That spear would have skewered a wild boar.,1,male
898,ARAGORN, He cannot stand alone! Elendil! I am with you Gandalf!,1,male
899,ARAGORN, Gandalf!,1,male
900,ARAGORN," Legolas, get them up.",1,male
901,ARAGORN," By nightfall these hills will be swarming with Orcs! We must reach the woods of Lothlórien. Come Boromir, Legolas, Gimli, get them up. On your feet, Sam.",1,male
902,ARAGORN, Haldir.,1,male
903,ARAGORN, That was not so courteous.,1,male
904,ARAGORN, Boe ammen veriad lîn. Andelu i ven! We need your protection. The road is fell!,1,male
905,ARAGORN, Merin le telim. I wish we may come with you.,1,male
906,ARAGORN," Henio, aníron boe ammen i dulu lîn! Please, understand, we need your support!",1,male
907,ARAGORN, Andelu i ven. The road is very dangerous.,1,male
908,ARAGORN," Arwen vanimelda, namárië.",1,male
909,ARAGORN," Here is the heart of Elvendom on earth, and here my heart dwells ever, unless there be a light beyond the dark roads that we still must tread, you and I.",1,male
910,ARAGORN, We shall endure to the last.,1,male
911,ARAGORN, Take some rest. These borders are well protected.,1,male
912,ARAGORN, I have seen the White City ... long ago.,1,male
913,ARAGORN," Aníron i e broniatha ar periatham amar hen. Aníron e ciratha a Valannor. I would have her leave these shores, and be with her people. I would have her take the ship to Valinor.",1,male
914,ARAGORN, Gollum. He has tracked us since Moria.,1,male
915,ARAGORN, There is no strength in Gondor that can avail us.,1,male
916,ARAGORN, I will not lead the Ring within a hundred leagues of your city.,1,male
917,ARAGORN, Frodo.,1,male
918,ARAGORN," We cross the lake at nightfall, hide the boats and continue on foot ... we approach Mordor from the North.",1,male
919,ARAGORN," That is our road. I suggest you take some rest and recover your strength, Master Dwarf.",1,male
920,ARAGORN, No. Orcs patrol the eastern shore. We must wait for cover of darkness.,1,male
921,ARAGORN, Frodo?,1,male
922,ARAGORN, Where is the Ring?,1,male
923,ARAGORN, Frodo ... I swore to protect you.,1,male
924,ARAGORN, I would have gone with you to the end ... into the very fires of Mordor.,1,male
925,ARAGORN," Go, Frodo!",1,male
926,ARAGORN, Run. Run!,1,male
927,ARAGORN, Boromir!,1,male
928,ARAGORN, I let Frodo go.,1,male
929,ARAGORN, The Ring is beyond our reach now.,1,male
930,ARAGORN," No, Boromir. You fought bravely. You have kept your honor.",1,male
931,ARAGORN," I do not know what strength is in my blood, but I swear to you ... I will not let the White City fall, nor your people fail...",1,male
932,ARAGORN," Be at peace, son of Gondor.",1,male
933,ARAGORN, Frodo's fate is no longer in our hands.,1,male
934,ARAGORN," Not if we hold true to each other. We will not abandon Merry and Pippin to torment and death, not while we have strength left.",1,male
935,ARAGORN, Leave all that can be spared behind. We travel light. Let’s hunt some Orc.,1,male
938,ARAGORN, Frodo? Frodo!,1,male
939,ARAGORN, But he’s too clever a waterman.,1,male
940,ARAGORN, The Argonath...,1,male
941,ARAGORN, Long have I desired to look upon the kings of old ... my kin.,1,male
942,ARAGORN, They will look for his coming from the White Tower ... but he will not return.,1,male
988,ARAGORN, I had hoped we would lose him on the river.,1,male
734,ARWEN, What is this? A Ranger caught off his guard?,1,female
735,ARWEN," Frodo, Im Arwen ... Telin let thaed. I am Arwen. I have come here to help you. Lasto beth nîn. Tolo dan na ngalad. Hear my voice. Return to the light.",1,female
736,ARWEN, Frodo?,1,female
737,ARWEN, He's fading. He's not going to last. We must get him to my father.,1,female
738,ARWEN," I've been looking for you for two days. There are five Wraiths behind you. Where the other four are, I do not know.",1,female
739,ARWEN, Hon mabathon. Rochon ellint im. I am the faster rider. I’ll take him.,1,female
740,ARWEN," Frodo fîr. Ae athradon i hir, tur gwaith nin beriatha hon. If I can get across the river, the power of my people will protect him.",1,female
741,ARWEN, I do not fear them.,1,female
742,ARWEN," Noro lim, Asfaloth, noro lim! Ride fast, Asfaloth, ride fast!",1,female
743,ARWEN," Noro lim, Asfaloth! Ride faster, Asfaloth!",1,female
744,ARWEN," If you want him, come and claim him.",1,female
745,ARWEN," Nin o Chithaeglir, lasto Beth daer: Rimmo nin Bruinen, dan in Ulair! Nin o Chithaeglir, lasto beth daer, Rimmo nin Bruinen, dan in Ulair! Waters of the Misty Mountains, listen to the great word: flow waters of Loudwater, against the Ringwraiths!",1,female
746,ARWEN," No, no ... Frodo, no! Frodo, don't give in ... not now!",1,female
747,ARWEN," Why do you fear the past? You are Isildur's heir, not Isildur himself. You are not bound to his fate.",1,female
748,ARWEN," Your time will come. You will face A si i-Dhúath ú-orthor, Aragorn. Ú or le a ú or nin. The shadow does not hold sway yet ... Not over you and not over me.",1,female
749,ARWEN, Renech i lu i erui govannen? Do you remember when we first met?,1,female
750,ARWEN, Gwenwin in enninath. U-arnech in naeth i si celich. Long years have passed. You did not have the cares you carry now.,1,female
751,ARWEN, Renech i beth i pennen? Do you remember what I told you?,1,female
752,ARWEN, And to that I hold. I would rather share one lifetime with you than face all the Ages of this world alone.,1,female
753,ARWEN," It is mine to give to whom I will, like my heart.",1,female
755,ARWEN," What grace is given me, let it pass to him. Let him be spared. Save him.",1,female
825,ARWEN, I choose a mortal life.,1,female
627,BLACK RIDER, Shire? Baggins?,1,male
765,BOROMIR, You are no Elf.,1,male
766,BOROMIR, Who are you?,1,male
767,BOROMIR, Then we are here on common purpose ... friend.,1,male
768,BOROMIR, So it is true!,1,male
769,BOROMIR," In a dream, I saw the eastern sky grow dark, but in the West a pale light lingered. A voice was crying: “Your doom is near at hand. Isildur’s Bane is found.”",1,male
770,BOROMIR, Isildur’s Bane.,1,male
771,BOROMIR," It is a gift ... a gift to the foes of Mordor! Why not use this Ring? Long has my father, the Steward of Gondor, kept the forces of Mordor at bay ... by the blood of our people are your lands kept safe. Give Gondor the weapon of the enemy ... let us use it against him!",1,male
772,BOROMIR, And what would a Ranger know of this matter?,1,male
773,BOROMIR, Aragorn? This is Isildur's heir?,1,male
774,BOROMIR, Gondor has no king.,1,male
775,BOROMIR," One does not simply walk into Mordor. Its Black Gates are guarded by more than just Orcs. There is evil there that does not sleep and the Great Eye is ever watchful. It is a barren wasteland riddled with fire, and ash and dust ... the very air you breathe is a poisonous fume. Not with ten thousand Men could you do this. It is folly.",1,male
776,BOROMIR," And what if we fail, what then? What happens when Sauron takes back what is his?",1,male
777,BOROMIR," You carry the fates of us all, little one.",1,male
778,BOROMIR," Get away from the blade, Pippin ... on your toes ... good, very good ... I want you to react, not think.",1,male
779,BOROMIR, Move your feet.,1,male
780,BOROMIR, It's moving fast ... against the wind.,1,male
781,BOROMIR, Merry ... Pippin ... Sam ... take cover!,1,male
782,BOROMIR, It is a strange fate that we should,1,male
783,BOROMIR, As you wish. I care not.,1,male
784,BOROMIR, We must get off the mountain! Make for the Gap of Rohan and take the West road to my city!,1,male
785,BOROMIR, This is no mine ... It's a tomb!,1,male
786,BOROMIR, We make for the Gap of Rohan. We should never have come here.,1,male
787,BOROMIR, Legolas!,1,male
788,BOROMIR, They have a cave-troll!,1,male
789,BOROMIR, What is this new devilry?,1,male
790,BOROMIR, Gondor!,1,male
791,BOROMIR, Give them a moment ... for pity's sake!,1,male
792,BOROMIR," Gandalf's death was not in vain. nor would he have you give up hope. You carry a heavy burden, Frodo. Don't carry the weight of the dead.",1,male
793,BOROMIR," I will find no rest here. I heard her voice inside my head. She spoke of my father and the fall of Gondor. She said to me, “Even now, there is hope left.” But I cannot see it ... it is long since we had any  hope.",1,male
794,BOROMIR," One day, our paths will lead us there, and the tower guard will take up the call “the Lords of Gondor have returned.”",1,male
795,BOROMIR," And if he alerts the enemy to our whereabouts, it will make the crossing even more dangerous.",1,male
796,BOROMIR, Minas Tirith is the safer road. You know that. From there we can regroup. Strike out for Mordor from a place of strength.,1,male
797,BOROMIR, You were quick enough to trust the Elves.,1,male
798,BOROMIR, None of us should wander alone; you least of all. So much depends on you ... Frodo?,1,male
799,BOROMIR," I know why you seek solitude. You suffer, I see it day by day. Are you sure you do not suffer needlessly?",1,male
800,BOROMIR," Let me help you. There are other ways, Frodo ... other paths that we might take.",1,male
801,BOROMIR, Warning? Against what?,1,male
802,BOROMIR, I ask only for the strength to defend my people. If you would but lend me the Ring...,1,male
803,BOROMIR, Why do you recoil? I am no thief.,1,male
804,BOROMIR," What chance do you think you have? They will find you, they will take the Ring and you will beg for death before the end.",1,male
805,BOROMIR, I see your mind ... you will take the Ring to Sauron. You will betray us! You go to your death and the death of us all! Curse you! Curse you and all your Halflings!,1,male
806,BOROMIR, Run! Run!,1,male
807,BOROMIR, They took the little ones...,1,male
808,BOROMIR, Then you did what I could not. I tried to take the Ring from him.,1,male
809,BOROMIR, Forgive me. I did not see ... I have failed you all.,1,male
810,BOROMIR, Leave it! It is over ... the world of Men will fall and all will come to darkness and my city to ruin ... Aragorn...,1,male
811,BOROMIR, Our people ... our people...,1,male
812,BOROMIR, The shards of Narsil ... the blade that cut the Ring from Sauron's hand.,1,male
813,BOROMIR, Still sharp.,1,male
814,BOROMIR, But no more than a broken heirloom.,1,male
815,BOROMIR," If this is indeed the will of the Council, then Gondor will see it done.",1,male
816,BOROMIR," My father is a noble man, but his rule is failing, and our ... our people lose faith. He looks to me to make things right ... and I would do it, I would see the glory of Gondor restored. Have you ever seen it, Aragorn? The White Tower of Ecthelion, glimmering like a spike of pearl and silver, its banners caught high in the morning breeze ... have you ever been called home by the clear ringing of silver trumpets?",1,male
817,BOROMIR," Have you so little faith in your own people? Yes, there is weakness. There is frailty. But there is courage also, and honor to be found in Men. But you will not see that.",1,male
818,BOROMIR, You are afraid!,1,male
